date,sentiment
2021-01-27,0.06818181818181818
2022-03-27,0.10402814777814778
2022-03-28,0.09613507622447136
2022-03-29,0.06421614735946463
2022-03-30,0.12031970228972931
2022-03-31,0.0914931935117271
2022-04-01,0.05929311283655763
2022-04-02,0.05782257467425643
2022-04-03,0.07944173913135585
2022-04-04,0.12175959779084143
2022-04-05,0.03580959506384827
2022-04-06,0.017568697454217776
2022-04-07,0.07625603358680498
2022-04-08,0.06947439716808486
2022-04-09,0.06303099638926474
2022-04-10,0.04460932859388466
2022-04-11,0.022614347884256987
2022-04-12,0.03387483003401423
2022-04-13,0.04179948617144311
2022-04-14,0.021989714915046404
2022-04-15,0.050735927145891
2022-04-16,0.06379736068292487
2022-04-17,0.040132643663078824
2022-04-18,0.049071837013395146
2022-04-19,0.03465996607931699
2022-04-20,0.035141107255637925
2022-04-21,0.03436947915909137
2022-04-22,0.03360478026720712
2022-04-23,0.03815046951352531
2022-04-24,0.06445162963533824
2022-04-25,0.04037315380582115
2022-04-26,0.014706474204615332
2022-04-27,0.02010321026397613
2022-04-28,0.048458572600495846
2022-04-29,0.03212311855454107
2022-04-30,0.06270512091703705
2022-05-01,0.05898428227960209
2022-05-02,0.03218393085402433
2022-05-03,0.0443906414261043
2022-05-04,0.03097424684247902
2022-05-05,0.0339208483300872
2022-05-06,0.03335826008613341
2022-05-07,0.03903388582998381
2022-05-08,0.04588346969443812
2022-05-09,0.022877847829329362
2022-05-10,0.04897578126457169
2022-05-11,0.038366354340778334
2022-05-12,0.045816465826178716
2022-05-13,0.035202934991760484
2022-05-14,0.052304807202103225
2022-05-15,0.060344582253706966
2022-05-16,0.029065252542506782
2022-05-17,0.046733005486860116
2022-05-18,0.03736520319652287
2022-05-19,0.05020724145223891
2022-05-20,0.04662972935574173
2022-05-21,0.14972499469231984
2022-05-22,0.045929784428010066
2022-05-23,0.03457487224127828
2022-05-24,0.05344713990746998
2022-05-25,0.05529549561349458
2022-05-26,0.04600639535879902
2022-05-27,0.044192588098808286
2022-05-28,0.05741917942474368
2022-05-29,0.042143259804959476
2022-05-30,0.057150849152340144
2022-05-31,0.040869513602304675
2022-06-01,0.03606239952625602
2022-06-02,0.0414715353078598
2022-06-03,0.037938974185349215
2022-06-04,0.03838129679109207
2022-06-05,0.03808468142510701
2022-06-06,0.05471430940340061
2022-06-07,0.04475021656488841
2022-06-08,0.05929645598251623
2022-06-09,0.051461030787270365
2022-06-10,0.04049931655097133
2022-06-11,0.04250871475809519
2022-06-12,0.04071186093529181
2022-06-13,0.030637030493754342
2022-06-14,0.03469511638581075
2022-06-15,0.04302276329191662
2022-06-16,0.033003809164697105
2022-06-17,0.04086227391765657
2022-06-18,0.04997918219133125
2022-06-19,0.03582846785644519
2022-06-20,0.022718571596367473
2022-06-21,0.023161515263684776
2022-06-22,0.03423584960404388
2022-06-23,0.04334418103299585
2022-06-24,0.03349063430899799
2022-06-25,0.029340991375147764
2022-06-26,0.039288699861050456
2022-06-27,0.03732065272424324
2022-06-28,0.029185059291341218
2022-06-29,0.049255949893671824
2022-06-30,0.054539455822634336
2022-07-01,0.03917453527569569
2022-07-02,0.05239044141641989
2022-07-03,0.017693714890029678
2022-07-04,0.0452047978650284
2022-07-05,0.04513557334335376
2022-07-06,0.028543102389084807
2022-07-07,0.060362648877665286
2022-07-08,0.06850127718214132
2022-07-09,0.037853166040754956
2022-07-10,0.05411711200662664
2022-07-11,0.035523145748201417
2022-07-12,0.04246532139262546
2022-07-13,0.026540044220992418
2022-07-14,0.050488570452996755
2022-07-15,0.040012077778895774
2022-07-16,0.060217853676893494
2022-07-17,0.037515480847293455
2022-07-18,0.04387116743535199
2022-07-19,0.04766328789946355
2022-07-20,0.03936404115622086
2022-07-21,0.016627912266766243
2022-07-22,0.03281269840598896
2022-07-23,0.036314195199187264
2022-07-24,0.049583445029394525
2022-07-25,0.04064120898893205
2022-07-26,0.05055001951514848
2022-07-27,0.0485895701948569
2022-07-28,0.03677387378615098
2022-07-29,0.03840961709772279
2022-07-30,0.05576126638437211
2022-07-31,0.04714145784777834
2022-08-01,0.040395112133229064
2022-08-02,0.042299758720046744
2022-08-03,0.04231096374244992
2022-08-04,0.0519414445179189
2022-08-05,0.03272714338678087
2022-08-06,0.0412282867438514
2022-08-07,0.05962875911047102
2022-08-08,0.0511284200391898
2022-08-09,0.04138189995272664
2022-08-10,0.038154694461548344
2022-08-11,0.03845238311471809
2022-08-12,0.04532026741120586
2022-08-13,0.03417877511164296
2022-08-14,0.05565687223556545
2022-08-15,0.04083637690114427
2022-08-16,0.04934016225155193
2022-08-17,0.05120932601043433
2022-08-18,0.0562518299968412
2022-08-19,0.038489675259809175
2022-08-20,0.0352343107770714
2022-08-21,0.04474800408813018
2022-08-22,0.05159269974566409
2022-08-23,0.051709093783467386
2022-08-24,0.057651445928638134
2022-08-25,0.056498880692713846
2022-08-26,0.051995739339344475
2022-08-27,0.06109598962886156
2022-08-28,0.0667595637650697
2022-08-29,0.04663088332095026
2022-08-30,0.05770844305140108
2022-08-31,0.044653349880114504
2022-09-01,0.049785750897869005
2022-09-02,0.06536753773577957
2022-09-03,0.05792641839499851
2022-09-04,0.05321886308856165
2022-09-05,0.042533460333290536
2022-09-06,0.048511590967296445
2022-09-07,0.03202122676459735
2022-09-08,0.04202481542511002
2022-09-09,0.04702848566561591
2022-09-10,0.05561122476444259
2022-09-11,0.0488008423251676
2022-09-12,0.026421718350335174
2022-09-13,0.04196020341451481
2022-09-14,0.04504102232668862
2022-09-15,0.0524408615423189
